2024-12-09 14:16:26,571 | INFO | system_logger | User Ron initiated schedule creation
2024-12-09 14:16:26,591 | INFO | system_logger | New shift created: Morning - ראשון (Petah Tikva, prizon)
2024-12-09 14:16:26,616 | INFO | system_logger | New schedule created: 2024-12-08 - Petah Tikva (draft)
2024-12-09 14:16:26,617 | INFO | system_logger | Shift created: Morning - ראשון (Petah Tikva, prizon), Schedule entry created for branch Petah Tikva
2024-12-09 14:16:26,624 | INFO | system_logger | New shift created: Afternoon - ראשון (Petah Tikva, prizon)
2024-12-09 14:16:26,652 | INFO | system_logger | New schedule created: 2024-12-08 - Petah Tikva (draft)
2024-12-09 14:16:26,652 | INFO | system_logger | Shift created: Afternoon - ראשון (Petah Tikva, prizon), Schedule entry created for branch Petah Tikva
2024-12-09 14:16:26,658 | INFO | system_logger | New shift created: Evening - ראשון (Petah Tikva, prizon)
2024-12-09 14:16:26,676 | INFO | system_logger | New schedule created: 2024-12-08 - Petah Tikva (draft)
2024-12-09 14:16:26,676 | INFO | system_logger | Shift created: Evening - ראשון (Petah Tikva, prizon), Schedule entry created for branch Petah Tikva
2024-12-09 14:16:26,683 | INFO | system_logger | New shift created: Morning - שני (Petah Tikva, prizon)
2024-12-09 14:16:26,696 | INFO | system_logger | New schedule created: 2024-12-08 - Petah Tikva (draft)
2024-12-09 14:16:26,697 | INFO | system_logger | Shift created: Morning - שני (Petah Tikva, prizon), Schedule entry created for branch Petah Tikva
2024-12-09 14:16:26,704 | INFO | system_logger | New shift created: Afternoon - שני (Petah Tikva, prizon)
2024-12-09 14:16:26,724 | INFO | system_logger | New schedule created: 2024-12-08 - Petah Tikva (draft)
2024-12-09 14:16:26,725 | INFO | system_logger | Shift created: Afternoon - שני (Petah Tikva, prizon), Schedule entry created for branch Petah Tikva
2024-12-09 14:16:26,732 | INFO | system_logger | New shift created: Evening - שני (Petah Tikva, prizon)
2024-12-09 14:16:26,753 | INFO | system_logger | New schedule created: 2024-12-08 - Petah Tikva (draft)
2024-12-09 14:16:26,754 | INFO | system_logger | Shift created: Evening - שני (Petah Tikva, prizon), Schedule entry created for branch Petah Tikva
2024-12-09 14:16:26,761 | INFO | system_logger | New shift created: Morning - שלישי (Petah Tikva, prizon)
2024-12-09 14:16:26,775 | INFO | system_logger | New schedule created: 2024-12-08 - Petah Tikva (draft)
2024-12-09 14:16:26,776 | INFO | system_logger | Shift created: Morning - שלישי (Petah Tikva, prizon), Schedule entry created for branch Petah Tikva
2024-12-09 14:16:26,783 | INFO | system_logger | New shift created: Afternoon - שלישי (Petah Tikva, prizon)
2024-12-09 14:16:26,797 | INFO | system_logger | New schedule created: 2024-12-08 - Petah Tikva (draft)
2024-12-09 14:16:26,797 | INFO | system_logger | Shift created: Afternoon - שלישי (Petah Tikva, prizon), Schedule entry created for branch Petah Tikva
2024-12-09 14:16:26,804 | INFO | system_logger | New shift created: Evening - שלישי (Petah Tikva, prizon)
2024-12-09 14:16:26,822 | INFO | system_logger | New schedule created: 2024-12-08 - Petah Tikva (draft)
2024-12-09 14:16:26,822 | INFO | system_logger | Shift created: Evening - שלישי (Petah Tikva, prizon), Schedule entry created for branch Petah Tikva
2024-12-09 14:16:26,829 | INFO | system_logger | New shift created: Morning - רביעי (Petah Tikva, prizon)
2024-12-09 14:16:26,856 | INFO | system_logger | New schedule created: 2024-12-08 - Petah Tikva (draft)
2024-12-09 14:16:26,856 | INFO | system_logger | Shift created: Morning - רביעי (Petah Tikva, prizon), Schedule entry created for branch Petah Tikva
2024-12-09 14:16:26,862 | INFO | system_logger | New shift created: Afternoon - רביעי (Petah Tikva, prizon)
2024-12-09 14:16:26,877 | INFO | system_logger | New schedule created: 2024-12-08 - Petah Tikva (draft)
2024-12-09 14:16:26,878 | INFO | system_logger | Shift created: Afternoon - רביעי (Petah Tikva, prizon), Schedule entry created for branch Petah Tikva
2024-12-09 14:16:26,885 | INFO | system_logger | New shift created: Evening - רביעי (Petah Tikva, prizon)
2024-12-09 14:16:26,900 | INFO | system_logger | New schedule created: 2024-12-08 - Petah Tikva (draft)
2024-12-09 14:16:26,901 | INFO | system_logger | Shift created: Evening - רביעי (Petah Tikva, prizon), Schedule entry created for branch Petah Tikva
2024-12-09 14:16:26,907 | INFO | system_logger | New shift created: Morning - חמישי (Petah Tikva, prizon)
2024-12-09 14:16:26,926 | INFO | system_logger | New schedule created: 2024-12-08 - Petah Tikva (draft)
2024-12-09 14:16:26,927 | INFO | system_logger | Shift created: Morning - חמישי (Petah Tikva, prizon), Schedule entry created for branch Petah Tikva
2024-12-09 14:16:26,933 | INFO | system_logger | New shift created: Afternoon - חמישי (Petah Tikva, prizon)
2024-12-09 14:16:26,954 | INFO | system_logger | New schedule created: 2024-12-08 - Petah Tikva (draft)
2024-12-09 14:16:26,955 | INFO | system_logger | Shift created: Afternoon - חמישי (Petah Tikva, prizon), Schedule entry created for branch Petah Tikva
2024-12-09 14:16:26,960 | INFO | system_logger | New shift created: Evening - חמישי (Petah Tikva, prizon)
2024-12-09 14:16:26,976 | INFO | system_logger | New schedule created: 2024-12-08 - Petah Tikva (draft)
2024-12-09 14:16:26,976 | INFO | system_logger | Shift created: Evening - חמישי (Petah Tikva, prizon), Schedule entry created for branch Petah Tikva
2024-12-09 14:16:26,982 | INFO | system_logger | New shift created: Morning - שישי (Petah Tikva, prizon)
2024-12-09 14:16:26,996 | INFO | system_logger | New schedule created: 2024-12-08 - Petah Tikva (draft)
2024-12-09 14:16:26,997 | INFO | system_logger | Shift created: Morning - שישי (Petah Tikva, prizon), Schedule entry created for branch Petah Tikva
2024-12-09 14:16:27,004 | INFO | system_logger | New shift created: Afternoon - שישי (Petah Tikva, prizon)
2024-12-09 14:16:27,020 | INFO | system_logger | New schedule created: 2024-12-08 - Petah Tikva (draft)
2024-12-09 14:16:27,021 | INFO | system_logger | Shift created: Afternoon - שישי (Petah Tikva, prizon), Schedule entry created for branch Petah Tikva
2024-12-09 14:16:27,026 | INFO | system_logger | New shift created: Evening - שישי (Petah Tikva, prizon)
2024-12-09 14:16:27,047 | INFO | system_logger | New schedule created: 2024-12-08 - Petah Tikva (draft)
2024-12-09 14:16:27,047 | INFO | system_logger | Shift created: Evening - שישי (Petah Tikva, prizon), Schedule entry created for branch Petah Tikva
2024-12-09 14:16:27,052 | INFO | system_logger | New shift created: Morning - שבת (Petah Tikva, prizon)
2024-12-09 14:16:27,070 | INFO | system_logger | New schedule created: 2024-12-08 - Petah Tikva (draft)
2024-12-09 14:16:27,070 | INFO | system_logger | Shift created: Morning - שבת (Petah Tikva, prizon), Schedule entry created for branch Petah Tikva
2024-12-09 14:16:27,076 | INFO | system_logger | New shift created: Afternoon - שבת (Petah Tikva, prizon)
2024-12-09 14:16:27,090 | INFO | system_logger | New schedule created: 2024-12-08 - Petah Tikva (draft)
2024-12-09 14:16:27,090 | INFO | system_logger | Shift created: Afternoon - שבת (Petah Tikva, prizon), Schedule entry created for branch Petah Tikva
